# hA2018/hA2025 INTRANUKE pi+ FSI TGraph2D points (archival), extracted
# from hA_TGraphs_2D/TGraphs_{2018,2025}.root by scripts/extract_ha_tgraphs.py.
# model=2018: value = fate fraction(A, KE[MeV]).
# model=2025: value = log(cross section).
# The runtime table is ha_pion_fsi_weights_A40.csv.
model,graph,fate,A,KE,value
2018,TfracPipA_Abs,abs,2.0,0.0,0.290546
2018,TfracPipA_Abs,abs,2.0,50.0,0.319384
2018,TfracPipA_Abs,abs,2.0,100.0,0.35289
2018,TfracPipA_Abs,abs,2.0,150.0,0.324227
2018,TfracPipA_Abs,abs,2.0,200.0,0.279303
2018,TfracPipA_Abs,abs,2.0,250.0,0.245146
2018,TfracPipA_Abs,abs,2.0,300.0,0.235667
2018,TfracPipA_Abs,abs,2.0,350.0,0.225269
2018,TfracPipA_Abs,abs,2.0,400.0,0.222175
2018,TfracPipA_Abs,abs,2.0,450.0,0.215448
2018,TfracPipA_Abs,abs,2.0,500.0,0.202885
2018,TfracPipA_Abs,abs,2.0,550.0,0.186264
2018,TfracPipA_Abs,abs,2.0,600.0,0.166649
